ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP,IECC_Climate_Zone,Lockout_Setpoint
36305,Houston County,AL,01069,H1,3A,69.0
36345,Houston County,AL,01069,H1,3A,69.0
36321,Houston County,AL,01069,H1,3A,69.0
36301,Houston County,AL,01069,H1,3A,69.0
36352,Houston County,AL,01069,H1,3A,69.0
36343,Houston County,AL,01069,H1,3A,69.0
36319,Houston County,AL,01069,H1,3A,69.0
36320,Houston County,AL,01069,H1,3A,69.0
36350,Houston County,AL,01069,H1,3A,69.0
36303,Houston County,AL,01069,H1,3A,69.0
36312,Houston County,AL,01069,H1,3A,69.0
36370,Houston County,AL,01069,H1,3A,69.0
36302,Houston County,AL,01069,H1,3A,69.0
36376,Houston County,AL,01069,H1,3A,69.0
36375,Houston County,AL,01069,H1,3A,69.0
35772,Jackson County,AL,01071,H1,3A,69.0
35744,Jackson County,AL,01071,H1,3A,69.0
35978,Jackson County,AL,01071,H1,3A,69.0
35769,Jackson County,AL,01071,H1,3A,69.0
35748,Jackson County,AL,01071,H1,3A,69.0
35768,Jackson County,AL,01071,H1,3A,69.0
35752,Jackson County,AL,01071,H1,3A,69.0
35771,Jackson County,AL,01071,H1,3A,69.0
35766,Jackson County,AL,01071,H1,3A,69.0
35765,Jackson County,AL,01071,H1,3A,69.0
35776,Jackson County,AL,01071,H1,3A,69.0
35755,Jackson County,AL,01071,H1,3A,69.0
35764,Jackson County,AL,01071,H1,3A,69.0
35966,Jackson County,AL,01071,H1,3A,69.0
35958,Jackson County,AL,01071,H1,3A,69.0
35746,Jackson County,AL,01071,H1,3A,69.0
35979,Jackson County,AL,01071,H1,3A,69.0
35774,Jackson County,AL,01071,H1,3A,69.0
35740,Jackson County,AL,01071,H1,3A,69.0
35745,Jackson County,AL,01071,H1,3A,69.0
35751,Jackson County,AL,01071,H1,3A,69.0
35212,Jefferson County,AL,01073,H1,3A,69.0
35215,Jefferson County,AL,01073,H1,3A,69.0
35173,Jefferson County,AL,01073,H1,3A,69.0
35205,Jefferson County,AL,01073,H1,3A,69.0
35180,Jefferson County,AL,01073,H1,3A,69.0
35232,Jefferson County,AL,01073,H1,3A,69.0
35218,Jefferson County,AL,01073,H1,3A,69.0
35444,Jefferson County,AL,01073,H1,3A,69.0
35048,Jefferson County,AL,01073,H1,3A,69.0
35254,Jefferson County,AL,01073,H1,3A,69.0
35181,Jefferson County,AL,01073,H1,3A,69.0
35079,Jefferson County,AL,01073,H1,3A,69.0
35294,Jefferson County,AL,01073,H1,3A,69.0
35133,Jefferson County,AL,01073,H1,3A,69.0
35130,Jefferson County,AL,01073,H1,3A,69.0
35208,Jefferson County,AL,01073,H1,3A,69.0
35224,Jefferson County,AL,01073,H1,3A,69.0
35202,Jefferson County,AL,01073,H1,3A,69.0
35209,Jefferson County,AL,01073,H1,3A,69.0
35235,Jefferson County,AL,01073,H1,3A,69.0
35091,Jefferson County,AL,01073,H1,3A,69.0
35172,Jefferson County,AL,01073,H1,3A,69.0
35126,Jefferson County,AL,01073,H1,3A,69.0
35061,Jefferson County,AL,01073,H1,3A,69.0
35207,Jefferson County,AL,01073,H1,3A,69.0
35211,Jefferson County,AL,01073,H1,3A,69.0
35217,Jefferson County,AL,01073,H1,3A,69.0
35219,Jefferson County,AL,01073,H1,3A,69.0
35116,Jefferson County,AL,01073,H1,3A,69.0
35062,Jefferson County,AL,01073,H1,3A,69.0
35127,Jefferson County,AL,01073,H1,3A,69.0
35210,Jefferson County,AL,01073,H1,3A,69.0
35214,Jefferson County,AL,01073,H1,3A,69.0
35222,Jefferson County,AL,01073,H1,3A,69.0
35006,Jefferson County,AL,01073,H1,3A,69.0
